date,activityType,steps,grossCalories,calories,distanceInMeters,activeTimeInSeconds
"05/19/2017, 00:00:00 +0800",Pedometer,5028.0,0.0,0.0,3057.0,0.0
"05/20/2017, 00:00:00 +0800",Pedometer,7102.0,0.0,0.0,4128.0,0.0
"05/21/2017, 00:00:00 +0800",Pedometer,589.0,0.0,0.0,402.0,0.0
"05/22/2017, 00:00:00 +0800",Pedometer,11212.0,0.0,0.0,6483.0,0.0
"05/23/2017, 00:00:00 +0800",Pedometer,3743.0,0.0,0.0,2279.0,0.0
"05/24/2017, 00:00:00 +0800",Pedometer,12890.0,0.0,0.0,7254.0,0.0
"05/25/2017, 00:00:00 +0800",Pedometer,6846.0,0.0,0.0,4177.0,0.0
"05/26/2017, 00:00:00 +0800",Pedometer,7242.0,0.0,0.0,4299.0,0.0
"05/27/2017, 00:00:00 +0800",Pedometer,2830.0,0.0,0.0,1649.0,0.0
"05/28/2017, 00:00:00 +0800",Pedometer,2493.0,0.0,0.0,1659.0,0.0
"05/29/2017, 00:00:00 +0800",Pedometer,8411.0,0.0,0.0,5084.0,0.0
"05/30/2017, 00:00:00 +0800",Pedometer,3603.0,0.0,0.0,2192.0,0.0
"05/31/2017, 00:00:00 +0800",Pedometer,5747.0,0.0,0.0,3566.0,0.0
"06/01/2017, 00:00:00 +0800",Pedometer,394.0,0.0,0.0,248.0,0.0
"06/02/2017, 00:00:00 +0800",Pedometer,5181.0,0.0,0.0,3059.0,0.0
"06/03/2017, 00:00:00 +0800",Pedometer,452.0,0.0,0.0,276.0,0.0
"06/04/2017, 00:00:00 +0800",Pedometer,764.0,0.0,0.0,525.0,0.0
"06/05/2017, 00:00:00 +0800",Pedometer,575.0,0.0,0.0,360.0,0.0
"06/06/2017, 00:00:00 +0800",Pedometer,10821.0,0.0,0.0,6461.0,0.0
"06/07/2017, 00:00:00 +0800",Pedometer,6448.0,0.0,0.0,4036.0,0.0
"06/08/2017, 00:00:00 +0800",Pedometer,1471.0,0.0,0.0,904.0,0.0
"06/09/2017, 00:00:00 +0800",Pedometer,1306.0,0.0,0.0,774.0,0.0
"06/10/2017, 00:00:00 +0800",Pedometer,2422.0,0.0,0.0,1445.0,0.0
"06/11/2017, 00:00:00 +0800",Pedometer,531.0,0.0,0.0,320.0,0.0
"06/12/2017, 00:00:00 +0800",Pedometer,1202.0,0.0,0.0,745.0,0.0
"06/13/2017, 00:00:00 +0800",Pedometer,6795.0,0.0,0.0,4005.0,0.0
"06/14/2017, 00:00:00 +0800",Pedometer,9435.0,0.0,0.0,5299.0,0.0
"06/15/2017, 00:00:00 +0800",Pedometer,7025.0,0.0,0.0,4271.0,0.0
"06/16/2017, 00:00:00 +0800",Pedometer,3081.0,0.0,0.0,1779.0,0.0
"06/17/2017, 00:00:00 +0800",Pedometer,392.0,0.0,0.0,272.0,0.0
"06/18/2017, 00:00:00 +0800",Pedometer,1397.0,0.0,0.0,839.0,0.0
"06/19/2017, 00:00:00 +0800",Pedometer,8756.0,0.0,0.0,5228.0,0.0
"06/20/2017, 00:00:00 +0800",Pedometer,4750.0,0.0,0.0,2919.0,0.0
"06/21/2017, 00:00:00 +0800",Pedometer,7907.0,0.0,0.0,4637.0,0.0
"06/22/2017, 00:00:00 +0800",Pedometer,2949.0,0.0,0.0,1781.0,0.0
"06/23/2017, 00:00:00 +0800",Pedometer,9521.0,0.0,0.0,5615.0,0.0
"06/24/2017, 00:00:00 +0800",Pedometer,8600.0,0.0,0.0,5175.0,0.0
"06/25/2017, 00:00:00 +0800",Pedometer,1041.0,0.0,0.0,723.0,0.0
"06/26/2017, 00:00:00 +0800",Pedometer,4015.0,0.0,0.0,2653.0,0.0
"06/27/2017, 00:00:00 +0800",Pedometer,5616.0,0.0,0.0,3533.0,0.0
"06/28/2017, 00:00:00 +0800",Pedometer,4134.0,0.0,0.0,2507.0,0.0
"06/29/2017, 00:00:00 +0800",Pedometer,2318.0,0.0,0.0,1429.0,0.0
"06/30/2017, 00:00:00 +0800",Pedometer,9006.0,0.0,0.0,5267.0,0.0
"07/01/2017, 00:00:00 +0800",Pedometer,1399.0,0.0,0.0,828.0,0.0
"07/02/2017, 00:00:00 +0800",Pedometer,4059.0,0.0,0.0,2547.0,0.0
"07/03/2017, 00:00:00 +0800",Pedometer,2728.0,0.0,0.0,1694.0,0.0
"07/04/2017, 00:00:00 +0800",Pedometer,2637.0,0.0,0.0,1681.0,0.0
"07/05/2017, 00:00:00 +0800",Pedometer,7613.0,0.0,0.0,4536.0,0.0
"07/06/2017, 00:00:00 +0800",Pedometer,8669.0,0.0,0.0,4938.0,0.0
"07/07/2017, 00:00:00 +0800",Pedometer,10722.0,0.0,0.0,6186.0,0.0
"07/08/2017, 00:00:00 +0800",Pedometer,394.0,0.0,0.0,267.0,0.0
"07/09/2017, 00:00:00 +0800",Pedometer,5710.0,0.0,0.0,3434.0,0.0
"07/10/2017, 00:00:00 +0800",Pedometer,10655.0,0.0,0.0,6387.0,0.0
"07/11/2017, 00:00:00 +0800",Pedometer,4503.0,0.0,0.0,2752.0,0.0
"07/12/2017, 00:00:00 +0800",Pedometer,2556.0,0.0,0.0,1493.0,0.0
"07/13/2017, 00:00:00 +0800",Pedometer,926.0,0.0,0.0,635.0,0.0
"07/14/2017, 00:00:00 +0800",Pedometer,999.0,0.0,0.0,686.0,0.0
"07/15/2017, 00:00:00 +0800",Pedometer,1196.0,0.0,0.0,813.0,0.0
"07/16/2017, 00:00:00 +0800",Pedometer,4509.0,0.0,0.0,2761.0,0.0
"07/17/2017, 00:00:00 +0800",Pedometer,5662.0,0.0,0.0,3395.0,0.0
"07/18/2017, 00:00:00 +0800",Pedometer,1317.0,0.0,0.0,822.0,0.0
"07/19/2017, 00:00:00 +0800",Pedometer,10386.0,0.0,0.0,6152.0,0.0
"07/20/2017, 00:00:00 +0800",Pedometer,6076.0,0.0,0.0,3618.0,0.0
"07/21/2017, 00:00:00 +0800",Pedometer,8565.0,0.0,0.0,4965.0,0.0
"07/22/2017, 00:00:00 +0800",Pedometer,4029.0,0.0,0.0,2365.0,0.0
"07/23/2017, 00:00:00 +0800",Pedometer,7808.0,0.0,0.0,4686.0,0.0
"07/24/2017, 00:00:00 +0800",Pedometer,7943.0,0.0,0.0,4704.0,0.0
"07/25/2017, 00:00:00 +0800",Pedometer,7459.0,0.0,0.0,4364.0,0.0
"07/26/2017, 00:00:00 +0800",Pedometer,7012.0,0.0,0.0,4253.0,0.0
"07/27/2017, 00:00:00 +0800",Pedometer,2183.0,0.0,0.0,1341.0,0.0
"07/28/2017, 00:00:00 +0800",Pedometer,6148.0,0.0,0.0,3692.0,0.0
"07/29/2017, 00:00:00 +0800",Pedometer,386.0,0.0,0.0,253.0,0.0
"07/30/2017, 00:00:00 +0800",Pedometer,2804.0,0.0,0.0,1745.0,0.0
"07/31/2017, 00:00:00 +0800",Pedometer,5628.0,0.0,0.0,3361.0,0.0
"08/01/2017, 00:00:00 +0800",Pedometer,6322.0,0.0,0.0,3745.0,0.0
"08/02/2017, 00:00:00 +0800",Pedometer,6216.0,0.0,0.0,3671.0,0.0
"08/03/2017, 00:00:00 +0800",Pedometer,1865.0,0.0,0.0,1182.0,0.0
"08/04/2017, 00:00:00 +0800",Pedometer,6413.0,0.0,0.0,3896.0,0.0
"08/05/2017, 00:00:00 +0800",Pedometer,8931.0,0.0,0.0,5231.0,0.0
"08/06/2017, 00:00:00 +0800",Pedometer,4952.0,0.0,0.0,2872.0,0.0
"08/07/2017, 00:00:00 +0800",Pedometer,4738.0,0.0,0.0,2834.0,0.0
"08/08/2017, 00:00:00 +0800",Pedometer,9647.0,0.0,0.0,5925.0,0.0
"08/09/2017, 00:00:00 +0800",Pedometer,961.0,0.0,0.0,650.0,0.0
"08/10/2017, 00:00:00 +0800",Pedometer,4489.0,0.0,0.0,2661.0,0.0
"08/11/2017, 00:00:00 +0800",Pedometer,8980.0,0.0,0.0,5306.0,0.0
"08/12/2017, 00:00:00 +0800",Pedometer,5561.0,0.0,0.0,3361.0,0.0
"08/13/2017, 00:00:00 +0800",Pedometer,1222.0,0.0,0.0,826.0,0.0
"08/14/2017, 00:00:00 +0800",Pedometer,7537.0,0.0,0.0,4503.0,0.0
"08/15/2017, 00:00:00 +0800",Pedometer,10216.0,0.0,0.0,5969.0,0.0
"08/16/2017, 00:00:00 +0800",Pedometer,6816.0,0.0,0.0,4036.0,0.0
"08/17/2017, 00:00:00 +0800",Pedometer,1984.0,0.0,0.0,1137.0,0.0
"08/18/2017, 00:00:00 +0800",Pedometer,5652.0,0.0,0.0,3477.0,0.0
"08/19/2017, 00:00:00 +0800",Pedometer,613.0,0.0,0.0,401.0,0.0
"08/20/2017, 00:00:00 +0800",Pedometer,320.0,0.0,0.0,225.0,0.0
